name,product url,price,name,imgUrl,company
MontaukAllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/pencils/products/montauk,$17.00,MontaukAllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiner_CLOSEUP_Montauk_16_grande.jpg,meltcosmetics
NeptuneAllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/pencils/products/neptune,$17.00,NeptuneAllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiner_CLOSEUP_Neptune_18_grande.jpg,meltcosmetics
MixtapeAllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/pencils/products/mixtape,$17.00,MixtapeAllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiner_CLOSEUP_Mixtape_15_grande.jpg,meltcosmetics
Golden TicketAllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/pencils/products/golden-ticket,$17.00,Golden TicketAllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiner_CLOSEUP_GoldenTicket_31_grande.jpg,meltcosmetics
CorruptAllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/pencils/products/corrupt,$17.00,CorruptAllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiner_CLOSEUP_Corrupt_69_grande.jpg,meltcosmetics
PorcelinaAllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/pencils/products/porcelina,$17.00,PorcelinaAllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiner_CLOSEUP_Porcelina_grande.jpg,meltcosmetics
DuskAllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/pencils/products/dusk,$17.00,DuskAllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiner_CLOSEUP_Dusk_43_grande.jpg,meltcosmetics
RoselenseAllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/pencils/products/roselense,$17.00,RoselenseAllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiner_CLOSEUP_Roselense_60_grande.jpg,meltcosmetics
FilthAllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/pencils/products/filth,$17.00,FilthAllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiners_CLOSEUPS_Filth_grande.jpg,meltcosmetics
1987AllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/pencils/products/1987,$17.00,1987AllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiners_CLOSEUPS_1987_grande.jpg,meltcosmetics
ColumbiaAllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/pencils/products/columbia,$17.00,ColumbiaAllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiners_CLOSEUPS_Columbia_grande.jpg,meltcosmetics
LamiaAllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/pencils/products/lamia,$17.00,LamiaAllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/PencilLiners_CLOSEUPS_Lamia_grande.jpg,meltcosmetics
420AllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/pencils/products/420,$17.00,420AllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/HotBoxLinersCLOSEUP_420_grande.jpg,meltcosmetics
BakedAllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/pencils/products/baked,$17.00,BakedAllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/HotBoxLinersCLOSEUP_Baked_grande.jpg,meltcosmetics
BloodshotAllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/pencils/products/bloodshot,$17.00,BloodshotAllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/HotBoxLinersCLOSEUP_Bloodshot_grande.jpg,meltcosmetics
818AllDay/Everyday Eye Liner,https://www.meltcosmetics.com/collections/pencils/products/818,$17.00,818AllDay/Everyday Eye Liner,cdn.shopify.com/s/files/1/0224/6859/products/HotBoxLinersCLOSEUP_818_grande.jpg,meltcosmetics
